127.0.0.1 - - [03/Apr/2014:15:46:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/ccav.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/basket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/cate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/vegitable.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/Fruits.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:46:42 +0530] "GET /e_mandi/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:47:42 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:48:09 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:48:20 +0530] "GET /e_mandi/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:48:25 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:48:29 +0530] "GET /e_mandi/index.jsp HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:48:47 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:59:12 +0530] "GET /e_mandi/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:15:59:49 +0530] "GET /e_mandi/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:16:00:03 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Apr/2014:16:01:53 +0530] "GET /e_mandi/index.jsp HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:16:02:07 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Apr/2014:16:03:11 +0530] "GET /e_mandi/index.jsp HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [03/Apr/2014:16:03:23 +0530] "POST /e_mandi/Validate HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [03/Apr/2014:16:03:30 +0530] "GET /e_mandi/index.jsp HTTP/1.1" 200 4080
